	Season	Age	Tm	Lg	Pos	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	Player
30	2004-05	21	PHI	NBA	SG	82	82	32.8	3.3	6.7	.493	0.6	1.7	.331	2.7	4.9	.550	.536	1.9	2.6	.743	1.1	4.6	5.7	3.0	1.7	0.6	1.7	2.5	9.0	Andre Iguodala
31	2005-06	22	PHI	NBA	SF	82	82	37.6	4.2	8.4	.500	0.7	1.9	.354	3.5	6.5	.543	.541	3.2	4.3	.754	1.4	4.4	5.9	3.1	1.6	0.3	1.9	2.4	12.3	Andre Iguodala
32	2006-07	23	PHI	NBA	SG	76	76	40.3	5.8	13.0	.447	0.6	2.0	.310	5.2	11.0	.472	.471	5.9	7.3	.820	1.0	4.7	5.7	5.7	2.0	0.4	3.4	2.6	18.2	Andre Iguodala
33	2007-08	24	PHI	NBA	SF	82	82	39.5	7.1	15.6	.456	1.2	3.7	.329	5.9	11.8	.496	.495	4.5	6.2	.721	1.0	4.4	5.4	4.8	2.1	0.6	2.6	2.3	19.9	Andre Iguodala
34	2008-09	25	PHI	NBA	SF	82	82	39.9	6.6	14.0	.473	1.0	3.2	.307	5.6	10.8	.521	.507	4.6	6.4	.724	1.1	4.6	5.7	5.3	1.6	0.4	2.7	1.9	18.8	Andre Iguodala
35	2009-10	26	PHI	NBA	SF	82	82	38.9	6.0	13.7	.443	1.1	3.7	.310	4.9	10.0	.492	.485	3.8	5.2	.733	1.0	5.5	6.5	5.8	1.7	0.7	2.7	1.8	17.1	Andre Iguodala
36	2010-11	27	PHI	NBA	SF	67	67	36.9	5.0	11.3	.445	0.9	2.7	.337	4.1	8.6	.479	.486	3.1	4.5	.693	0.9	4.9	5.8	6.3	1.5	0.6	2.1	1.6	14.1	Andre Iguodala
37	2011-12	28	PHI	NBA	SF	62	62	35.6	4.6	10.2	.454	1.2	3.1	.394	3.4	7.1	.481	.514	2.0	3.2	.617	0.9	5.2	6.1	5.5	1.7	0.5	1.9	1.5	12.4	Andre Iguodala
38	2012-13	29	DEN	NBA	SG	80	80	34.7	5.0	11.0	.451	1.1	3.6	.317	3.8	7.4	.515	.502	1.9	3.4	.574	1.0	4.3	5.3	5.4	1.7	0.7	2.6	1.6	13.0	Andre Iguodala
39	2013-14	30	GSW	NBA	SF	63	63	32.4	3.5	7.3	.480	1.0	2.8	.354	2.5	4.5	.558	.548	1.4	2.1	.652	0.8	3.8	4.7	4.2	1.5	0.3	1.6	1.6	9.3	Andre Iguodala
40	2014-15	31	GSW	NBA	SF	77	0	26.9	3.0	6.4	.466	1.0	2.8	.349	2.0	3.7	.553	.540	0.9	1.5	.596	0.6	2.8	3.3	3.0	1.2	0.3	1.1	1.3	7.8	Andre Iguodala
41	2015-16	32	GSW	NBA	SF	65	1	26.6	2.7	5.7	.478	0.8	2.4	.351	1.9	3.3	.570	.552	0.8	1.3	.614	0.8	3.2	4.0	3.4	1.1	0.3	1.2	1.6	7.0	Andre Iguodala
